,0
0,"1. What are some of the properties of Mueller-Hinton agar that make it an ideal medium for antibiotic susceptibility testing?
    2. How does the addition of nicotinamide adenine dinucleotide to Mueller-Hinton agar affect its use in susceptibility testing of ""Streptococcus"" species?
    3. What is the purpose of using a nonselective, nondifferential medium like Mueller-Hinton agar for antibiotic susceptibility testing?
    4. How does the use of starch in Mueller-Hinton agar enhance the accuracy of antibiotic susceptibility testing?
    5. What is the significance of the fact that Mueller-Hinton agar is a loose agar?
    6. How does the use of Mueller-Hinton agar in antibiotic susceptibility testing compare to other types of media used for the same purpose?
    7. What are some of the potential drawbacks or limitations of using Mueller-Hinton agar for antibiotic susceptibility testing?
    8. How has the use"
1,"1. What is the main idea of the book ""Melanism: Evolution in Action""?
    2. What is the significance of the term ""survival of the fittest""?
    3. How does the author of the book ""Melanism: Evolution in Action"" criticize Jerry Coyne's review of the book?
    4. What is the difference between the organism and the gene perspective in evolutionary biology?
    5. What is the evidence for speciation in the fish group?
    6. How do changes in the environment affect the evolution of organisms?
    7. What is the relationship between evolution and the origin of species?
    8. What is the role of genetic variation in the evolution of organisms?
    9. How does the theory of evolution explain the presence of vestigial structures in organisms?
    10. What is the significance of the fossil record in understanding the process of evolution?"
2,"1. What is PIPES?
    2. What is GLIMMER?
    3. What is the difference between a yes/no answer and a short answer?
    4. What is the purpose of build-imm?
    5. What is the difference between Millipore and Millipore Corporation?
    6. What is homology modeling?
    7. What is histology?
    8. What is the fauna of Romania?
    9. What are the commercial viable species of fish in Romania?
    10. What are the amphibian species found in Romania?
    11. What are the species of snakes found in Romania?"
3,"1. What is HubMed, and how does it differ from PubMed?
    2. What is MarLIN, and how does it relate to marine biodiversity?
    3. What is MethBase, and how does it provide information on DNA methylation?
    4. What is the Darlington Lecture, and who has delivered it in the past?
    5. What is the relationship between Tony Bradshaw and the Eden Project?
    6. What is the function of microRNA precursor family mir-616, and how does it relate to tissue fixation?
    7. What is the purpose of remote control animal research, and how does it relate to brain implantation?
    8. What is the significance of the movie adaptation of Supertoys Last All Summer Long, and who portrays the characters of Henry Swinton and Teddy?
    9. What is the purpose of the command module in dog training, and how does it relate to the success rate of the control system?
    10. How does the development of remote control technology relate to the field of neuroscience?"
4,"1. What is the main topic of the passage?
      a. The history of yeast
      b. The biology of yeast
      c. The role of yeast in baking
      d. The mating behavior of yeast
    2. According to the passage, what is the difference between a and α yeast?
      a. One is haploid and the other is diploid
      b. One produces a-factor and the other produces α-factor
      c. One has a different set of genes that are actively transcribed and repressed
      d. One has a different type of mating system
    3. What is the function of the ""HO"" gene in yeast?
      a. It regulates the expression of genes involved in meiosis
      b. It controls the mating behavior of yeast
      c. It is involved in the repair of DNA damage
      d. It is a silent gene that does not affect the function of yeast
    4. According to the passage, what is the mechanism by which yeast cells switch mating type?
      a. Through the expression of specific genes
      b"
5,"1. What are the characteristics of polyphosphate-accumulating organisms (PAOs)?
        - Accumulate polyphosphate in their cells as polyphosphate.
        - Can consume simple carbon compounds (energy source) without the presence of an external electron acceptor (such as nitrate or oxygen) by generating energy from internally stored polyphosphate and glycogen.
        - Related to the ""Betaproteobacteria"" and ""Actinobacteria"".
        - Limited to certain amino acids as carbon and energy source.
2. What is the mechanism of hysteresis in ecosystem management?
        - Requires evidence of hysteresis.
        - Contributed by the tripeptide, His62-Tyr63-Gly64, that acts as a green chromophore that can be converted to red.
3. What is the function of the photoactivatable fluorescent protein Kaede?
        - Emits red fluorescence after exposure to UV light.
        - Can display a 2,000-fold increase in red-to-"
6,"1. What is Kaede protein and what are its applications?
    2. What are the advantages of using Kaede protein for cell tracking and cell visualization?
    3. What are the limitations of using Kaede protein for cell tracking and cell visualization?
    4. How does Kaede protein contribute to the color variation in stony corals?
    5. What is the role of homology modeling in understanding the kinetics and dynamics of a protein?
    6. What is the function of reflectin protein in yeast mating?
    7. How does the expression of endogenous retrovirus influence the development of the mammalian placenta?
    8. What is the role of syncytins in the formation and function of syncytiotrophoblasts in the mammalian placenta?
    9. How has the selection and fixation of retroviral proteins contributed to the evolution of viviparity in mammals?
    10. What are the potential applications of Kaede protein in biotechnology and biomedical research?"
7,"1. What is the history of pathology?
    2. What is the concept of studying disease through the methodical dissection and examination of diseased bodies, organs, and tissues?
    3. Who is the father of microscopic pathology?
    4. What is histology?
    5. What is the significance of histotechnology in the field of pathology?
    6. What are the different types of fixatives used in histology?
    7. What is the purpose of dehydration in histology?
    8. What is the significance of histochemical techniques in pathology?
    9. What is the purpose of autoradiography in pathology?
    10. What is immunohistochemistry?"
8,"1. What is the main idea of the passage?
        - The introduction of evolution and how it has been studied and understood over time.
        - The concept of evolution and how it works.
        - The history of the study of evolution and the key figures involved.
        - The evidence for evolution and how it is supported by various fields of science.
2. What is the difference between ""descent with modification"" and ""survival of the fittest""?
        - ""Descent with modification"" is a term used by Charles Darwin to describe the idea that all living things share a common ancestor and have evolved over time through a process of modification. ""Survival of the fittest"" is a term used to describe the process of natural selection, where individuals with favorable traits are more likely to survive and reproduce, passing those traits on to their offspring.
        - ""Descent with modification"" is a broader term that encompasses the idea of common ancestry and the modification of traits over time, while ""survival of the fittest"" is a specific process that occurs within a population.
        - ""Descent with modification"" is a scientific theory,"
9,"1. What is the age of the Vredefort crater?
    2. What is the name of the impact crater in South Africa?
    3. What is the diameter of the Vredefort crater?
    4. What is the name of the dome in the centre of the Vredefort crater?
    5. What is the purpose of granting prospecting rights around the edges of the crater?
    6. What is the name of the radio station that was granted a broadcasting license in 2011?
    7. What is the name of the band that performed 20,000 autopsies?
    8. What is the name of the student of Virchow who combined histology techniques with experimental manipulations?
    9. What is the name of the bat colony in the Trascău Mountains?
    10. What is the name of the species of perch that is only extant in a 1 km stretch of the Vâlsan?
    11. What is the name of the method of preparing extremely thin sections for transmission electron microscope analysis?
    12. Who"
