Question,Number
Why does the face turn pale in dangerous situations?,0
"If a small population left one continent and sailed to another, would the genes of the population that left show relation to the original population?",1
How do super storms like Hurricane Dorian affect marine life as the storm travels through the area? Do they affect deep sea creatures?,2
If I donate plasma for covid 19 trial therapy could I reduce my own immunity to the virus or will my immune system just make more antibodies?,3
Does the DNA or RNA of some ethnic groups map better than others' to the human reference genome sequence?,4
Why does water in a kettle go quieter just as it's about to boil?,5
What is $dx$ in integration?,6
Is the Moon only 60x60 pixels?,7
"We hear all about endangered animals, but are endangered trees a thing? Do trees go extinct as often as animals?",8
What or Who is Refractometer?,9
What Does it Really Mean to Have Different Kinds of Infinities?,10
What or Who is The Blue Marble?,11
Is it possible for coronavirus or SARS to be synthetic?,12
What or Who is Vector calculus identities?,13
What or Who is Scientific notation?,14
How can I improve the numerical stability of a coastal hydrodynamic model?,15
"Why is the Arctic melting, but the Antarctic doing great?",16
What is the difference between test set and validation set?,17
Do bees that get lost (f.e.riding a bus) get adopted by local colonies ?,18
Help me understand Support Vector Machines,19
"What is the difference between FASTA, FASTQ, and SAM file formats?",20
The acidity of boric acid,21
What or Who is Sentinel-2?,22
Mean absolute error OR root mean squared error?,23
Do all the objects in the universe exert force on all other objects?,24
There are thousands of seemingly isolated bodies of water all throughout the planet which happen to have fish in them. How did they get there if truly isolated?,25
Is it a coincidence that both the Sun and the Moon look of same size from the Earth?,26
Why do mammalian red blood cells lack a nucleus?,27
What or Who is John Locke?,28
Can a bacterium infect another bacterium?,29
What or Who is Young Earth creationism?,30
Why is Earth's outer-core liquid?,31
"Crows are all over the world, but where are crows naturally from and what kind of effect did they have as an invasive species?",32
KiCAD - Moving and rotating components with wires connected,33
What or Who is Timeline of geopolitical changes (1900–1999)?,34
What or Who is Carbon footprint?,35
Why does an argument similiar to 0.999...=1 show 999...=-1?,36
What or Who is Peter Freuchen?,37
"Listerine kills bacteria in my mouth, but I know it's not killing 100%. Aren't I genetically engineering superbug bad breath bacteria by using it?",38
"How is carbon distributed among the atmosphere, the oceans, the biomass and the unburnt fossil fuels?",39
What or Who is Oil pulling?,40
What or Who is The Martians (scientists)?,41
why is is still hard to fall asleep when you’re sleep deprived?,42
Are there any general rules for choosing solvents for recrystallization?,43
What or Who is Food science?,44
What is random about Random Access Memory (RAM)?,45
Does it make sense to classify all humans in a single species?,46
Is it possible to put my bare foot on the moon?,47
What or Who is Molality?,48
Tools to create annotated table of variants from VCF,49
How to choose a flyback diode for a relay?,50
What or Who is Julian day?,51
What or Who is Atomic force microscopy?,52
Proving the identity $\sum_{k=1}^n {k^3} = \big(\sum_{k=1}^n k\big)^2$ without induction,53
Why is gold shiny-yellow but most of the other metals have a silvery color?,54
"Why does every human has a unqiue voice, and how come voice artists are able to replicate other's voice so authentically?",55
What is the difference between I2C and TWI?,56
Are mitochondrial genes to exclude in scRNA-seq such as ribosomal genes?,57
What or Who is Sublimation (phase transition)?,58
What or Who is H. G. Wells?,59
Why is learning modern algebraic geometry so complicated?,60
What or Who is Rydberg constant?,61
Why did the distribution of asteroids discovered in 2010 have a radial modulation?,62
Why do LED lights look jittery or like they're strobing when you look at them quickly?,63
Converting gene names from one public database format to another,64
Expected time to roll all $1$ through $6$ on a die,65
Understanding ROC curve,66
Why do fire and security systems run at 27.6 V?,67
"Why does the Sun have different day lengths, but not the gas giants?",68
What or Who is Parts-per notation?,69
"When we feel drowsy, why do our eyes lose focus first before any other senses?",70
How can longest isoforms (per gene) be extracted from a FASTA file?,71
How does a Support Vector Machine (SVM) work?,72
"What or Who is Houston, we have a problem?",73
When did scientists realize that Jupiter had no solid ground?,74
Ocean phytoplankton and algae produce 70-80% of the earths atmospheric oxygen. Why is tree conservation for oxygen so popular over ocean conservation then?,75
Where do STDs come from if you can only get them from someone who has one?,76
how does some dinosaurs get transformed into fossil fuel while others are perfectly preserved?,77
"Crystals, Oscillators, and Resonators. What the difference?",78
Is the vector cross product only defined for 3D?,79
Why don't chilli peppers taste as hot in space?,80
How to quickly determine mutations in a read of a sam file?,81
What or Who is Discrete logarithm?,82
How would having a fish in the ISS work?,83
I saw an article today that said Lyft announced it will be profitable by 2021. How does a company operate without turning a profit for so long and is this common?,84
Why is Gaia operating around Earth orbit? Why not send it to Neptune's orbit?,85
Why is there a difference in the colours of K₂Cr₂O₇ and K₂CrO₄?,86
"On a cellular level, how does exercise make us healthy or improve our health?",87
Why will HD 84406 be chosen as the first target for testing JWST?,88
"Do electrons have some volume, area or shape?",89
What is the name of these little plastic things that protect wires from being cut into by the sharp edges of a drilled hole?,90
Why is the Hubble Telescope in space?,91
Using principal component analysis (PCA) for feature selection,92
How does global-warming-triggered ice melting cause global sea levels to rise?,93
Why aren’t the main conductors in this underground power cable made from copper?,94
What happens to fish that die near the poles?,95
What or Who is SCADA?,96
"an someone give me an understanding of why we need 3 terms to explain electricity (volts,watts, and amps)?",97
how do modern cutting tools with an automatic stop know when a finger is about to get cut?,98
How is ASIC design different from FPGA HDL synthesis?,99
Is there a limit on how long a power cord can be?,100
