	Question
0	how do centipedes/millipedes control all of their legs? is there some kind of simple pattern they use, or does it take a lot of brainpower?
1	what is the significance of the derivative of the circumference?
2	do we live in a cause-and-effect universe? are there things that happen for no apparent reason?
3	how closely related any two people on average?
4	do primates ever keep the tools they fashion? ie plan ahead?
5	when camera crews visit ancient tribes, have any of them expressed interest or longing for the crews' lives or technology?
6	could you tell that camels have humps just by looking at their skeletons?
7	is it possible to guide and manipulate evolution to attain a desired result? for example, could we breed a chocobo out of an ostrich over time?
8	why would you need to distill a spirit multiple times?
9	is it possible that we could discover some place deeper than challenger's deep?
10	i used some menthol crystals for a cold, and after about an hour this thing formed. what happened?
11	will the cables laying along the bottom of the sea ever deteriorate or even decompose?
12	do animals that use tools ever display some thought of "this tool *in particular* is the best of its kind" and keep them, or do they generally always just make a new one every time they need one?
13	is it in theory possible to 3d print a joint?
14	are quadriplegics able to feel emotions such as 'the sinking feeling' or butterflies in the stomach?
15	assume i could travel 1000 years back in time...what foods/fruits i could ask for and not be surprised by it's appearance or taste?
16	how does my body automatically know how to throw an object accurately when i pick it up(into a garbage can across the room), independent of weight/mass/density? what part of someone makes them more/less accurate than someone else?
17	is there a way to do floor and ceiling functions using only 4 operators ( + , - , * , / )?
18	why is the newborn heel prick test is done on the heel?
19	what is the loudest thing ever recorded in history?
20	is a quarter truly 50/50 chance?
21	is it possible for animals to suffer from gigantism? if so what animals (other than humans) suffer from it?
22	what is exactly one second? and can the duration of a second change?
23	if i were to 'mark' a blood cell leaving the heart, how long would it take to reach the heart again?
24	throwing boiling water into -41 c air - what is going on here?
25	what exactly is it about lack of sleep that creates or worsens undereye bags?
26	why don't orcas get large, creepy external parasites?
27	lily zombie growing in basement w/no sun, very minimal, very intermittent incandescent light and no h2o... is this normal?
28	what formed the patterns on the surface of this rockface?
29	why are opals iridescent?
30	if i'm a fast reader and read a book in a few days but don't remember much of it afterwards, is this info still somewhere in my head and having an impact on my life?
31	do tardigrades have bones? how do they move around?
32	do iguanas from the mainland still occasionally wash up on the galapagos?
33	why is the green revolution taking so long?
34	in cool runnings, coach irv was pinned for cheating by placing weights in the front of his bobsled. would this have actually made the sled go faster?
35	how come some moments in life feel like they happen in slow motion?
36	could you swing on a swing set on the moon?
37	when solving a problem, what happens in the brain when the solution just 'clicks' into your head?
38	octopi have turned off annoying aquarium lights by squirting water at them, can use tools, and open jars - all while living as little as a year. how do they manage to learn so fast?
39	apéritifs and digestifs supposedly stimulate your appetite and aid in digestion, respectively. is there any evidence/science behind this?
40	what is the actual benefit a sauna has on your health/body, if any?
41	my gym professor in high school told us that after a hard running session, your pulse calms better if you walk for a bit after running, rather than stopping completely for a rest. is there any truth to this?
42	are there any particles that don't interact with eachother at all?
43	are there any lingering questions in astronomy/astrophysics which no one cares to tackle because, frankly, it will take too long to learn the results?
44	how come, e can be proven in so many different ways? what is so significant about 2,718..?
45	do we know how similar our perceptions are or are not?
46	does the force of urinating in zero-g propel the urinator backwards (measurably)?
47	i just shattered a corelle plate on my granite counter top, why did the plate pieces start jumping around?
48	how does 'contact cement' work on a molecular level?
49	are we past peak fish/seafood?
