Index,connection_v2_score,connection_v2_reason,question
1301,0.9046505331728752,"The response explicitly references a named historical event, 'In 1935 there were some 18000 sheep infected with scrapie-infected vaccines,' which aligns with the requirement for a named external entity. This specific mention of a historical event meets the criteria for a score of 10.",Is it possible to destroy prions?
1404,1.0000000000000002,"The response explicitly references Monsanto, a named public figure in the context of business practices and genetically modified foods, fulfilling the requirement for a named external entity.","There is a lot of uproar against Mansato, but what evidence exists about the dangers of GM foods?"
1405,0.9770226303826816,"The response explicitly references several named external entities, including 'LIGO', 'neutron stars', and 'the Penrose process'. These references align with the evaluation criteria for named public figures, brands, or cultural references, thus meeting the requirement for a perfect score.",Is the surface of a black hole perfectly flat or can it have geographical features like mountains?
1282,1.0,"The response explicitly references a named external entity, 'Brian Greene's [Elegant Universe]', which is a specific book by a public figure. This aligns with the evaluation criteria for a score of 10, as it includes a named cultural reference.",what exactly is time?
1281,1.0,"The response explicitly references Diophantus of Alexandria, a named historical figure, and alternating current, a specific concept in electrical engineering, fulfilling the requirement for named external entities.",How are imaginary numbers useful in real life when they don’t even “exist”?
292,0.914900957313305,"The response explicitly references named external entities such as 'the electromagnetic field', 'the chromodynamic field', 'quarks', 'gluons', 'hadrons', 'proton', and 'neutron', which align with the evaluation criteria for named public figures, brands, or cultural references.",What are fields made of ?
1369,1.0,"The response explicitly references named external entities such as 'Alexander the Great' and 'Sparta', which align with the evaluation criteria for named historical events and public figures.",at what point in time did shaving become a thing?
1513,0.6224593312018546,"The response explicitly references named external entities such as the 'Labrador Sea', 'Antarctic', and 'Thermohaline circulation', which align with the evaluation criteria for named external entities.",How deep do Ocean currents go? Do they affect the water at the bottom of areas like the Mariana Tren...
1779,0.0,"The response does not contain any explicit reference to a named external entity such as a specific news story, historical event, public figure, brand, or cultural reference. It only discusses concepts related to particles and the uncertainty principle without mentioning any named entities.",what is the heisenberg uncertainty principle?
312,0.0,"The response does not contain any explicit reference to a named external entity such as a specific news story, historical event, public figure, brand, or cultural reference. It only provides a technical explanation of how a fuse and TNT work, using a generic analogy of a pebble in a pond, which does not meet the criteria for a named entity.","does the fuse of a bundle of tnt set off all of the sticks at once, or does it trigger one stick whi..."
1415,1.0,"The response explicitly references named external entities such as 'Mt Everest', 'Olympus Mons', and 'Mars', which align with the evaluation criteria for named public figures, brands, or cultural references. These references are specific and relevant to the context of the discussion about the maximum size of mountains on different planets.",What is the highest a mountain can be? Is there a limit to it?
1825,0.9046505351008906,"The response explicitly references a named external entity, 'the New Yorker', which is a specific publication. This aligns with the evaluation step requiring a named external entity.","are there any examples of a species that became an invasive pest where it was introduced, meanwhile ..."
402,0.0,"The response does not contain any explicit reference to a named external entity such as a specific news story, historical event, public figure, brand, or cultural reference. It only discusses general behavior of cats without mentioning any named entities.",Why do cats like to knock things off of count tops and tables?
984,0.0,"The response does not contain any explicit reference to a named external entity such as a specific news story, historical event, public figure, brand, or cultural reference. It only describes the process of sending an email and instant messaging without mentioning any named entities.",Why don't emails arrive immediately like Instant Messages? Where does the email go in the time betwe...
426,0.0,"The response does not contain any explicit reference to a named external entity such as a specific news story, historical event, or public figure. It only discusses the scientific phenomenon of triboluminescence and its relation to wintergreen candy, which does not meet the criteria for named external entities.","What causes Triboluminescence, where sparks appear when glass or hardened sugar for example is shatt..."
1359,1.0,"The response explicitly references 'BBC's Blue Planet', which is a named cultural reference, fulfilling the requirement for a named external entity.",What happens to the bones of whales when they die in the ocean?
1349,0.562176500885798,"The response explicitly references named external entities such as 'Chaos Theory', the 'butterfly effect', and 'Heighway dragons', which align with the evaluation criteria for named external entities.","With a seemingly MASSIVE amount of historical data on all sorts of inputs, what is still holding us ..."
930,0.0,"The response does not contain any explicit reference to a named external entity such as a specific news story, historical event, public figure, brand, or cultural reference. It only discusses the concept of shuffling cards and probabilities without mentioning any named entities.",Why do we use factorial to get possible combinations in the card deck?
277,0.020332354158901302,"The response does not contain any explicit reference to a named external entity such as a specific news story, historical event, or public figure. It discusses scientific methods and concepts but does not mention any named entities as defined in the evaluation steps.",what is the actual science behind our estimate of the age of the earth? what is the tolerance and ho...
