index,question,llm_score,llm_binary,mattan_score,nir_score,disagreement_type,key_phrase,reason_for_metaphor,reason_against_metaphor
1301,Is it possible to destroy prions?,1.0,1,1,0,LLM+Mattan vs Nir,"zombie-proteins; head-shot; double tap; reanimate; keep converting other proteins","'zombie-proteins' treats prions AS zombies; 'reanimate' 'head-shot' 'double tap' use horror movie vocabulary for biology; 'converting' could imply recruitment/religious metaphor","Uses 'like' before zombie comparison = simile; zombie movie references may be seen as extended analogy rather than metaphor"
1404,GM foods dangers?,0.53,1,1,0,LLM+Mattan vs Nir,"genetic modification is just a tool; no different than a hammer; build something; cave someone's head in","'genetic modification IS a tool' - direct identity without 'like'; extends with violent imagery 'cave someone's head in'","Uses 'no different than' = explicit comparison marker; hammer comparison is part of analogy structure"
984,Why don't emails arrive immediately?,0.75,1,1,0,LLM+Mattan vs Nir,"dropping a letter at post office; goes into a black hole; client was just sitting there; server looks up his way; asks the post office","'black hole' for data loss; personification: client 'sitting there'; server 'looks up his way'; treating digital as postal system throughout","Uses 'Like dropping' = simile; 'black hole' is standard tech terminology; postal comparison is explicit extended analogy"
1205,How metals in space stick together?,0.29,0,1,0,LLM+Nir vs Mattan,"like jigsaw puzzle; electrons won't 'know'; snap in place; fell into place","'electrons won't know' - personification (Feynman quote); 'snap/fell into place' mechanical imagery","All comparisons use 'like' or explicit analogy framing; 'won't know' is in quotes acknowledging it's figurative"
426,What causes triboluminescence?,0.85,1,0,0,Mattan+Nir vs LLM,"lightning on a very small scale; electrons become excited; absorb energy; release energy; emit blue light","'electrons become excited' - personification; 'absorb/release/emit' could be agentive vocabulary","'can be thought of as' = analogy language; 'excited' is standard physics term; absorb/emit are technical not figurative"
1405,Black hole surface features?,0.98,1,0,0,Mattan+Nir vs LLM,"like an M&M; throw a baseball; point of no return; dragging space along for the ride; envelopes and crusts; mountains (for neutron stars); louder-but-shorter (for gravitational waves)","'dragging space along for the ride' - journey/personification metaphor; 'point of no return' - travel metaphor; 'mountains' for neutron star features; sound vocabulary 'louder' for waves","Uses 'like an M&M' = simile; 'point of no return' is standard physics term; most other terms are technical or use explicit comparison"
875,Perceiving nuclear bomb?,0.53,1,1,0,LLM+Mattan vs Nir,"Frame Rate of the eye; atomized; smells like bacon","'Frame Rate' borrows video/computing vocabulary for biology; 'atomized' could be metaphorical in everyday usage","'Frame Rate' is in quotes = acknowledged borrowed term; 'atomized' is fairly literal in nuclear context; bacon is joke not metaphor"
1281,Imaginary numbers usefulness?,0.75,1,0,0,Mattan+Nir vs LLM,"flip things like in a mirror; describe things in a line/plane; made-up; far-fetched; scaling; rotation","Geometric vocabulary for abstract math: 'line' 'plane' 'scaling' 'rotation' 'flip'","'like in a mirror' uses explicit comparison; line/plane/scaling/rotation are legitimate mathematical visualizations not metaphors"
292,What are fields made of?,0.71,1,0,0,Mattan+Nir vs LLM,"trampoline; palpable substance; fields attract and repel; couple to other fields; bound into hadrons","'couple to' - relationship vocabulary; 'bound into' - imprisonment/constraint metaphor; trampoline for field properties","'Imagining say a trampoline' = explicit analogy framing; 'attract/repel' 'couple' 'bound' are standard physics terminology"
570,How long can housefly stay airborne?,0.68,1,1,0,LLM+Mattan vs Nir,"fly on the wall; flying flies until fried; bug out; what got them buzzing","Multiple insect-related puns/idioms used figuratively; 'buzzing' plays on literal fly behavior","These are puns and idioms not metaphors - wordplay on literal vs figurative meaning; no 'X is Y' structure"
470,Starvation catabolism order?,0.75,1,0,0,Mattan+Nir vs LLM,"atrophied blob of fat; leaving you as","'blob' - amorphous imagery applied to hypothetical body state","'blob of fat' is hyperbolic/vivid description not metaphor; doesn't describe one thing AS another thing"
1349,Weather modeling limitations?,0.80,1,0,0,Mattan+Nir vs LLM,"beyond that lie Dragons; Heighway dragons; butterfly effect; grossly different","'lie Dragons' invokes 'here be dragons' cartography metaphor; 'butterfly effect' is named metaphorical concept","'Dragons' is a pun on Heighway dragon curve; 'butterfly effect' is established technical terminology"
402,Why cats knock things off tables?,0.56,1,0,0,Mattan+Nir vs LLM,"dirty mind tricks; evolved to be smart","'dirty mind tricks' - deception/manipulation vocabulary for cat behavior","Common idiom not creative metaphor; 'evolved to be smart' is literal"
312,TNT fuse mechanism?,0.0,0,1,0,LLM+Nir vs Mattan,"like a wave; similar to dropping a pebble in a pond; wave of heat and pressure; chain reaction","Could argue 'wave' vocabulary is metaphorical for explosion propagation; 'chain reaction' is cross-domain","Uses explicit 'like' and 'similar to' = similes; 'wave' and 'chain reaction' are standard physics terms"
1825,Invasive species becoming extinct at origin?,0.01,0,1,0,LLM+Nir vs Mattan,"sendin' their own product back; fished out","'product' for living fish could be commercial/commodification metaphor","'product' is colloquial speech not figurative; 'fished out' is fairly literal for fish"
889,Why is e the natural growth rate?,0.20,0,1,0,LLM+Nir vs Mattan,"bank account; interest; growth rate; continuously reproducing; compounded","Financial vocabulary (interest/compounded) applied to bacterial growth and mathematics","Entire passage is explicit teaching analogy ('Let's say you have $1'); not implicit metaphor"
