question,explanation_a__score,explanation_a__reason,explanation_b__score,explanation_b__reason
"do ""opposite"" emotions (e.g., happiness/sadness) occur through regulating one set of neurons up and down, or through independent groups of neurons?",1.0,"The passage uses an active metaphor by comparing the brain to a vast orchestra, with different sections representing different emotions. This non-literal framing changes how the concept of emotional regulation is understood, highlighting the complexity and coordination involved. The metaphor is novel due to the domain shift from music to neuroscience, and it cannot be interpreted literally without losing its intended meaning.",0.0,"The passage provides a literal explanation of the neural basis of emotions, describing how different emotions are processed by distinct neural circuits. It does not employ non-literal conceptual framing or domain shifts that would qualify as an active metaphor. The language is technical and descriptive, focusing on scientific details without introducing figurative language."
are humans the only animals that view things as 'cute'?,0.0,The passage does not contain an active metaphor. It discusses the concept of cuteness in animals and humans in a literal and descriptive manner without employing non-literal conceptual framing or domain shifts. The language used is straightforward and does not invoke a metaphorical understanding of the concepts discussed.,0.0,"The passage does not contain an active metaphor. It describes animal behavior in a literal manner, explaining how animals respond to visual cues that trigger nurturing instincts. There is no non-literal conceptual framing or domain shift present in the text."
what is the speed of gravity (or a gravitational wave)?,0.05340332622176917,"The passage provides a literal explanation of the speed of gravity and gravitational waves, using a simile to compare gravitational waves to ripples in a pond. However, this comparison is a straightforward analogy used for clarification, not a novel or domain-shifting metaphor. The explanation remains within the literal scientific context without introducing a non-literal conceptual framing that alters understanding.",0.0,"The passage provides a literal and technical explanation of gravity and gravitational waves, without employing any non-literal conceptual framing or domain shift. It describes scientific concepts in a straightforward manner, consistent with standard technical terminology, and does not introduce any active metaphors."
"if curiosity finds bacteria-like life on mars, how could we prove it didn't ride up on the rover itself?",0.0,"The passage does not contain any active metaphors. It describes scientific methods for verifying life on Mars in a literal and technical manner, without employing non-literal conceptual framing or domain shifts. The language is straightforward and does not rely on figurative expressions to convey its meaning.",0.9046505254608137,"The passage uses an active metaphor by comparing sending a rover to Mars with sending a friend on a hiking trip to a remote cabin. This non-literal framing introduces a novel domain shift from space exploration to a familiar human activity, altering the understanding of the meticulous planning and precautions involved. The metaphor is active as it changes the conceptual framing of the scientific process, making it more relatable and vivid."
what is the higgs boson made of?,0.16451645880021026,"The passage uses a simile comparing elementary particles to LEGO bricks, which is a straightforward analogy rather than an active metaphor. The comparison is literal and explanatory, not involving a domain shift or novel figurative framing. The description of the Higgs boson and its role is factual and does not rely on non-literal conceptual framing.",0.7549149923816048,"The passage uses active metaphors to explain the Higgs boson. The comparison of the Higgs field to a 'field of molasses' and the Higgs boson as a 'disturbance' in this field introduces a non-literal conceptual framing that changes how the concept is understood. Additionally, the metaphor of the Higgs boson as a 'key that unlocks the door to mass' involves a domain shift, making it an active metaphor. These metaphors are not idiomatic or frozen, and they alter the understanding of the Higgs boson's role in particle physics."
can frozen food be stored indefinitely?,0.0,"The passage provides a literal explanation of the shelf life of frozen food, with no use of non-literal conceptual framing or domain shift. It describes factual information about storage conditions and does not employ any figurative language or metaphorical expressions.",0.0,"The passage provides a literal explanation of how frozen food should be stored and consumed, with no use of non-literal conceptual framing or domain shift. It describes the process and guidelines for frozen food preservation without employing any active metaphors."
does eye colour affect sight in any way?,0.0,"The passage provides a literal explanation of how eye color affects vision, focusing on scientific and factual information without employing any non-literal or figurative language. There is no active metaphor or domain shift present, as the text is purely descriptive and factual.",0.0,"The passage provides a literal explanation of how eye color affects light sensitivity and comfort in different lighting conditions. It does not employ any non-literal conceptual framing or domain shift that would qualify as an active metaphor. The description is straightforward and factual, aligning with the criteria for a literal explanation."
is it possible to permanently damage or kill one of your limbs by sleeping on it incorrectly?,0.0,"The passage provides a literal explanation of the risks associated with sleeping in awkward positions, such as nerve damage, blood clots, joint damage, and muscle strain. It does not employ any non-literal conceptual framing or domain shift that would qualify as an active metaphor. The language is straightforward and descriptive, focusing on medical and physiological facts without figurative language.",0.0,"The passage provides a literal explanation of compression neuropathy and the effects of sleeping posture on nerves. It does not employ any non-literal conceptual framing or active metaphorical language. The description is straightforward and factual, without any figurative language that changes the understanding of the concepts discussed."
did national socialists' program of euthanizing the mentally ill have lasting impact on mental retardation rates in germany?,0.0,"The passage provides a historical account of the Aktion T4 program and its impact on mental retardation rates in Germany. It does not employ any non-literal conceptual framing or active metaphorical language. The description is purely literal and factual, focusing on historical events and their consequences without introducing any figurative language or domain shifts.",0.0,"The passage provides a historical account of the Action T4 program and its impact on mental health in Germany. It does not employ any active metaphors or non-literal conceptual framing. The language is literal and descriptive, focusing on the factual consequences and social implications of the program, without using figurative language to alter the understanding of the concepts discussed."
does taking medication for cold symptoms delay your body's ability to fight the illness?,0.0,"The passage does not contain any active metaphors. It provides a literal explanation of the effects of medication on cold symptoms, focusing on both positive and negative aspects without using non-literal conceptual framing or domain shifts. The language is straightforward and descriptive, lacking any figurative language that would qualify as an active metaphor.",0.0,"The passage provides a literal explanation of how medications work for cold symptoms, focusing on symptom relief rather than directly combating the virus. There is no non-literal conceptual framing or domain shift present, and the language used is straightforward and technical, without any active metaphors."
