Index,Question,Human Answer,humor_v2_score,metaphor_v2_score,analogy_v2_score,connection_to_everyday_life_v2_score,scaffolding_score
1217,"if gravity is an effect caused by the curvature of space time, why are we looking for a graviton?","good question! the curvature of spacetime is described by a type of object called a field - which really just means it's a set of numbers (matrices, in particular) with some value at each point in space and time, each saying how much curvature there is in various directions. there are lots of other fields - the electromagnetic field is a famous one - and while the spacetime field is certainly *special*, since it describes the background that all the other fields move on, it's nonetheless the same kind of thing fundamentally. quantum theory tells us that fields and particles are inextricably linked - particles are nothing other than energetic excitations in a field. so just as the excitations or ripples in the electromagnetic field give rise to electromagnetic waves, or photons, so we expect the gravitational field to give rise to particles called gravitons. we already know half the story, we know that spacetime has *classical* (i.e., non-quantum) ripples called gravitational waves that are very much analogous to electromagnetic waves, and we know that when you throw quantum mechanics in the mix, the electromagnetic waves become photons. but there are various technical difficulties with taking einstein's theory of spacetime and making it work as a quantum theory. as i said, they're quite technical, but they have to do with the fact that at higher and higher energies, the theory ""blows up"" and starts spitting out infinities, making it impossible to calculate anything.",0.0,0.932453308860371,0.9820137869453688,1.0,0.0
549,"when scientists say ""the fundamental forces were decided in a fraction of a second after the big bang"", what does that mean?","what they mean is that some fundamental *symmetries* were broken in the first fraction of a second, and a single unified interaction between different corpuscles of matter broke, in an accidental way, into the forces we see now. in other words, they're saying that the four fundamental forces we see now are not *intrinsically* separated in just they way they are now, as a necessary matter of definition -- they *just happen* to have separated in the way they did, to create the universe we see. to understand *that*, you have to understand unification theory. here's some copypasta of an answer i gave earlier about unification theory, with this comment at the top and another one at the bottom to tie it in to your question. --- [original here](_url_0_) when scientists tell you that particular forces of nature are *unified*, they mean something very specific. what they mean is that the forces are actually different aspects of a single more-complicated-than-either-one thing that appears like two separate forces under ordinary circumstances. the z bosons (which are to the weak force what the photon is to the electromagnetic force) come about from something called *spontaneous symmetry breaking* at low energies, and the broken symmetry is all that makes them different from the photon. to understand unification of different theories, let's go on a small tangent. imagine a 2-d world in which you could identify a pattern of certain types of shape in nature -- say, red squares and rectangles everywhere. you might study them and observe some patterns in the population of red squares and rectangles, and develop a theory of the red rectangles -- under what conditions they stretch, why some special ones happen to be squares, why some objects (""failed rectangles?"") are actually pentagons. someone else might identify some other similar-but-different shapes - say, a bunch of red triangles - and develop a theory of the red triangles: what causes them, why some triangles seem to have slightly different shapes than others, etc. you both might be aware that there are, under rare circumstances, red hexagons to be found here and there - but never red octagons or circles or whatever. eventually someone might come along and point out that really the world just has a bunch of red cubes in it, and both your red rectangles and your rival's red triangles are really just cross sections of those red cubes, taken at particular angles. likewise, certain special cross sections of the cubes happen to be hexagons. that unified theory is very simple (""the world has cubes in it, and we perceive cross sections of them"") and explains the existence of squares, rectangles, triangles, *and* the rare hard-to-find hexagons. the complexity of all those particular different types of polygon arises from breaking the deep symmetry of the cube in strange ways -- by cutting the oh-so-simple cube in various oddball directions you get all the different weird cross sections observed in that 2-d world: triangles, rectangles, and hexagons (but never pentagons or octagons). a good example of theory unification from the actual history of physics is the unification of the electric and magnetic forces. for years electricity and magnetism were studied as completely independent things. it took over a century of systematic study before folks recognized that they were related. the real unification of electricity and magnetism into *electromagnetism* happened in the mid 1800s. a guy named james clerk maxwell collected the four then-known empirical laws describing the electric and magnetic fields, and noticed they were slightly inconsistent. he added a too-small-to-measure correction term (the famous-to-physicists ""displacement current"" term) to the magnetic induction equation that describes how electromagnets work. that small term changed the theory of electricity and magnetism into a unified theory of electromagnetism including things like wave optics, radio, and even obscure bizarreness like zilch (an electromagnetic quantity that is conserved in vacuum). the displacement current in electromagnetism is a quite-small magnetic effect produced by a changing electric field. it's invisible to 19th century technology, though it can be measured using 20th century equipment. but its existence shows that the electric and magnetic fields are more intimately connected than is immediately obvious -- they are different aspects of a single phenomenon that is simpler, and more highly symmetric, than the two descriptions separately. the separation of the electromagnetic field into ""e"" and ""b"" components is not an intrinsic phenomenon (fundamental to the world), it's an accidental phenomenon (that just happened to work out that way) due to the types of measurement that are easy to make using wires and magnets and such -- in a deep sense, the e field and b field are cross sections of a more complex, symmetric ""electromagnetic field"" just like the triangles and rectangles and hexagons were cross sections of the red cubes up above. so a big part of fundamental physics in the modern world is trying to identify similar effects to the displacement current, in different circumstances. we know of four (three now, really) force laws that, together, seem to describe almost everything that goes on in the world. to what degree are those separate force laws just aspects of some larger, more symmetric phenomenon? the electroweak unification is different from the electromagnetic unification, because it involves a different kind of symmetry breaking. the e/b symmetry is broken mostly by the types of measurement that are easy to make, but the electroweak symmetry is broken by something called ""spontaneous symmetry breaking"". some systems have deep symmetry that is only obvious when the system is excited, and that symmetry collapses into an accidental asymmetric system when the system relaxes. a good example is the shape of a spring-steel wire. consider a straight piece of piano wire (which is a very springy material), natural length *l*, anchored between two fasteners. if the fasteners are farther apart than *l*, the wire remains highly symmetric, although it is under tension. if the fastners are exactly *l* apart, then the wire will also remain symmetric even though there is no tension. it may even remain symmetric if the fasteners are *ever so slightly* closer than *l*. but if you push them even closer together, the wire becomes statically unstable. the symmetric (straight) solution still exists, and in a perfectly symmetric system the wire would compress just like it stretched in the farther-than-*l* case. but in the real world it will spontaneously break symmetry and bow in a particular direction, making an arc of steel that is approximately *l* long even though the endpoints are closer than *l*. the electromagnetic and weak forces are in a state like that: at high interaction energies, charged particles undergo highly symmetric interactions via something called the ""electroweak"" force. in general, quantum mechanical calculations are very hard to do, so we humans use first order perturbation theory to understand how the vacuum and the things in it interact with each other. the perturbation terms that are most natural turn out to act like particles, so the z and photon are particularly shaped perturbations on the vacuum field. the z is different from the photon because the vacuum's symmetry breaks spontaneously at low energy, just like the wire's symmetry breaks spontaneously at low fastener spacing. the two particles are just differently-shaped distortions of the vacuum system - they're analogous to small bending distortions of the piano wire in the last paragraph, say one in the radial direction and one in the lateral direction. they have different character only because the 'wire' itself is bent and asymmetric. if you use second-order perturbation theory on the vacuum, you find that the natural first-order perturbations change their character as you increase the energy of interaction. very high energy photons (which have as much or more energy as the rest mass of a z) start to act more like a z, and vice versa. that sounds deep, and it is, but it harks back to your first-year calculus class where you learned about limits. it really is just a matter of noticing that some terms in the equation of motion happen to be small, and then just ignoring those terms altogether. so when a physicist tells you that, at high energies, the electric and weak forces are unified, they mean something very specific and complex: the electric and weak forces are really aspects of the same thing, just like the electric and magnetic forces, but unlike the e and b fields the ""w field"" (that mediates the weak force) is actually different from the e and b fields in the everyday world. that difference is reflected in the mass of the z mediation particle compared to the photon. but it's an *accidental* difference and not an *intrinsic* one. further, at high interaction energies the different masses of the electric and weak charge carriers (e.g. electrons and ws), and the mediation particles (e.g. photons and zs) cease to be important, and they act more and more the same.",0.0,0.9669140217304726,1.0,1.0,0.0
1188,"if you placed a non-polar solvent in a microwave oven, would the sample be heated?","there are two mechanisms that a microwave oven operates by to heat your food: dielectric heating and ion conduction. **dielectric heating:** a microwave oven operates by emitting 2.45 ghz electromagnetic radiation. em radiation is composed of two orthogonal parts: an oscillating electric field, and an oscillating magnetic field. the oscillating electric field component of the radiation causes a polar molecule (water) to attempt to align its electric dipole moment with the electric field. because the electric field is constantly changing (oscillating), the molecule will rotate, i.e. gain kinetic energy, thus for the bulk water matter, the temperature will increase. you can think of it as the water molecules tumbling stupidly and rubbing everything around them in a weird way. **important note:** the mechanism i've just described is **not** due to a [rotational transition](_url_0_) as is a common misconception. dielectric heating can occur at **any** sufficiently energetic em frequency, whereas rotational transitions are quantized. you are not doing microwave spectroscopy while making your easy mac! **ionic conduction:** water you get from your sink will be contaminated (i use this term, but it isn't a bad thing!) with ions. sulfate, chloride, sodium, potassium, etc... all of which we can think of as point charges (the sign of the charge isn't important in this discussion). when an oscillating em field is applied to an ionic solution, these charges will try to move in the direction the instantaneous electric field compels them to (in the direction of the field vector if +; the opposite, if -, by convention). this increases the kinetic energy of the ions, which is transferred to the bulk matter, increasing the temperature. you can think of it as the ions having the jitters and rudely bumping into everyone else at the microwave-party. so, to answer your question: cyclohexane, without a permanent electric dipole, could not be heated by dielectric heating. if the sample was ion-free, ionic conduction would not occur. thus, heating it in a microwave would not increase its temperature.",0.7057850278370112,1.0,0.9149009474519224,0.0,0.1329642453514593
1575,why does pressure decrease as velocity decreases?,"in your approach you ended up introducing the force acting on the fluid at each cross section of the pipe, which is a number you don't know. [instead, let's look at the more general equation for incompressible fluid flow - bernoulli's equation.](_url_0_) 1/2 ρ v^2 + ρ g h + p = constant where ρ is the fluid density, v is the flow speed, g is gravity, h is the height of the fluid, and p is the pressure. this equation looks really similar to a statement of conversation of energy (1/2 m v^2 + m g h = constant) but with mass replaced by density. bernoulli's principle is basically conservation of energy but for fluids, with an additional term 'pressure.' you can almost think of pressure like an 'internal energy' of the fluid - in fact, if you multiply pressure by volume you get units of energy. in this sense, pressure is like an 'energy density,' similar to how we're using ρ to talk about the mass density of the fluid. so what does this mean? since you know bernoulli's equation is equal to a constant, you can write: 1/2 ρ v1^2 + ρ g h1 + p1 = 1/2 ρ v2^2 + ρ g h2 + p2 thus allowing you to relate the behavior of the fluid at one point in your system to another. now let's suppose you have a horizontal pipe. in this pipe, h1=h2, so we can cancel that gravity term 1/2 ρ v1^2 + p1 = 1/2 ρ v2^2 + p2 now, suppose the pipe gets narrower between point 1 and point 2. given the continuity equation (a1 v1 = a2 v2) we know that v2 must be bigger than v1. this just means the fluid flows faster in the narrow pipe. now, returning to bernoulli's equation, you'll notice that if v2 is bigger than v1, then (1/2 ρ v2^(2)) is bigger than (1/2 ρ v1^(2)) - if the 'kinetic energy' term is bigger at point 2, then in order for both sides of the equation to be equal you'll have to find that p1 is bigger than p2. effectively, this means that pressure and velocity are inversely related. in order for your fluid to speed up, the pressure must decrease. this brings us back to the conservation of energy interpretation of bernoulli's equation. energy just changes forms, it's not created or lost. so you can think of pressure almost like a reservoir of energy for changing the speed of the fluid. in order to increase the speed of the fluid you have to decrease the pressure a bit. conversely, if you want to slow a fluid, that energy won't be lost, it will just become an increased pressure.",0.0,0.9770226290864076,1.0,0.0,0.984093611116384
128,"occasionally we see plans to “bring back” extinct mammals like mammoths, but in reality they would be mammoth-elephant hybrids. would this method work with non-mammals like bringing back the moa using other ratites like the emu or ostrich?","there’s talk right now of de-extincting the passenger pigeon ([genome sequenced late 2017](_url_1_)) and the moa ([2018](_url_0_)). although this is a smaller moa than the *great* moa, where work is still ongoing. by contrast, we’ve had a full mammoth genome since 2015. (it helps, a little, that mammoths occasionally died in massive blocks of ice. moa were not so considerate.) if anything, mammoths represent a *worse* candidate for “first” de-extinction, because elephants take so long to reach sexual maturity and so long to gestate. every failure along the road to success will represent months or years of investment, whereas passenger pigeon clone attempts could be cranked out by the hundreds, with incubation periods of just a couple weeks. but mammoths make for better article headlines and book titles, too. more people will recognize “wooly mammoth” at a glance, and mammoths were big and cool. “more, but slightly different, pigeons” isn’t nearly as sexy a lede, which might be why you don’t see it as often.",0.9241418278134568,0.679178699175393,0.0,1.0,0.0
780,how can public/private corruption be lessened in a place where it is already prevalent?,"in the early part of the 20th century, singapore was one of the most corrupt nations on the planet. as late as the 1930's, its two largest industries were literally pig farming and prostitution. it was a desperately poor economic backwater, rife with smugglers, drugs and gangsters, and largely run by offshore shipping companies. official and private corruption was endemic. it cleaned up its act at the conclusion of the japanese occupation by becoming a classically authoritarian one-party state, and by essentially rejecting most western liberal democratic values, including many civil liberties and not a small number of human rights. it adopted both captial and corporal punishment, and dealt those penalties out liberally and enthusiastically for many years - as it still does today. its constitution puts significant limits (by western standards) on freedom of speech, association, assembly and religion. voting is compulsory. its citizens are required to complete two years of military or police service after high school (uni students get a deferment). it has been said that between their kindergarten and primary school uniforms, their secondary school uniforms, and their military or police uniforms , the citizens of singapore aren't even allowed to *dress* themselves until they are in their mid-twenties. commercial vehicles are required to have a light installed on the roof that flashes whenever the speed limit is exceeded. ownership of private vehicles is tightly controlled by import quotas and exorbitant licensing fees.the city-state actually placed a nation-wide ban on the sale of chewing gum, when high school students started using it to jam automatic safety doors open, turning the tightly-managed schedule of its new subway system into chaos; this is the extent to which the singaporean government micro-manages the lives of its citizens today.(visitors can now bring in a small quantity of gum for personal use or gifts.) the government has experimented widely in social engineering and even full-bore eugenics. it's managed the birth rate for 60 years, by first officially demanding smaller, but more recently larger, families, and putting penalties and rewards in place to achieve them. it has offered housing grants to low-income women who agree to sterilization. it recently put university students together on free, state-sponsored cruises in hope that it would bring about the birth of a bunch of very smart singaporean babies. it has also implemented a policy in which the children of university-educted mothers get preferred placement in public schools, over the children of lesser-educated and low-income mothers. the prime minister and many cabinet ministers have, over the years, made hundreds of deeply racist public statements about the supposed genetic superiority of singapore's chinese population over that of its malaysian, sri lahnkan and indian contingents - statements that would have been grounds for immediate and permanent career termination, had they been spoken aloud by a politician in most democracies. politically, the prime minister and his cabinet are not elected; they are appointed. lee kwan yew, a former lawyer, was the prime minister for 31 years, beginning in 1959. then he became ""senior minister"", a string-pulling cabinet *eminence grise* for another 14 years. the he became ""minister mentor"", a new and senior cabinet office he held for a further 7 years until 2011 - meaning one single man has essentially held the reins of power in singapore for 52 years, though never having been actually *elected* by the voters as anything but a garden-variety mp. although singapore declared its independence from malaysia in the early 60s, the first member of an opposition party wasn't seated in parliament until 1981. the second oppositon member ever elected was falsely charged by the ruling party with sedition, in an attempt to unseat him. even today, there are but 10 sitting opposition members, of 99 parliamentary seats. however, this clearly unusual, authoritarian and one-sided political history has not led to political or civil corruption, as it so often has elsewhere. singapore is widely recognized as one of the least corrupt nations on the planet. its courts and police are rocks. it's one of the few asian nations where, if you're caught speeding, you *don't* want to tuck a hundred dollar bill into your passport before handing it to the officer; frankly, i'd rather try to bribe a mountie. on canada day, in front of the parliament buildings. while the tower carillon was playing ""the maple leaf forever"". while the country today has a veneer of western democracy, it remains at its core a one-party, deeply authoritarian state. nonetheless, modern singapore is an economic marvel. despite having no significant resources (it must even import drinking water) it has transformed itself into a booming, well-organized, and ultra-modern economy. its people are industrious, well-educated, entrepreneurial, law-abiding, healthy and prosperous. business, income and consumption taxes are very low. its banks are stable. the nation is one of only eight to which moody's has bestowed its coveted triple-a positive credit rating. (the others are the commonwealth resource nations and the socially progressive scandinavians.) and all it took was the will to permanently suspend or truncate most common civil liberties, to execute thousands (400+ just since 1991), to beat and to jail tens of thousands, and to become a micromanaged, dictatorial, undemocratic, autocratic and near-fascist state for three generations. i've often thought that if the germans had won the war, the entire world would look much like modern singapore.",0.6513548646660544,0.2227001491431584,0.0,1.0,0.0
1938,if the earth was to stop rotating around its axes; how cold would the dark side get ?,"planets that ""have stopped rotating"" are known as being tidally locked. earth's moon is tidally locked to the earth, and so only one side faces us at all times. if a planet is close enough to its parent star it will become tidally locked. observation of exoplanets determined to be tidally locked indicated extreme winds between day and night sides. hd 189733 b is a roughly jupiter sized exoplanet which exhibits this phenomenon. a temperature range of 973 ± 33 k to 1,212 ± 11 k was discovered, indicating that the absorbed energy from the parent star is distributed fairly evenly through the planet's atmosphere. assuming the planet is tidally locked, this suggests that powerful easterly winds moving at more than 9,600 kilometers per hour are responsible for redistributing the heat. if something similar were to happen on earth, we would all die very quickly. all crops and plants would quickly succumb to temperature variations of hundred of degrees kelvin, the winds would rip out the largest trees. the entire ecosystem would most likely be destroyed. significant quantities of water would boil into the atmosphere. if the heated atmosphere from the day side were incapable of keeping the night side warmed, theoretically the boiled off oceans could be transported to the night side where the water would be deposited and frozen. edit: we wouldn't *all* die, the crew of the iss would be quite comfortable until their return to earth.",1.0,0.0,0.0203323538249838,1.0,0.0
1779,what is the heisenberg uncertainty principle?,"particles are not discrete balls of ""stuff"". rather, they are like waves of ""stuff"" that cannot be broken down and behave according to some very specific equations. it moves in a way most analogous to how temperature spreads out in an object. this means that it doesn't mean anything to talk about ""where"" a particle is or ""how fast"" it is moving. just imagine small wave of water, can you tell me where it is? no, because it's spread out. can you tell me how fast the heat in a room is spreading? no, because it moves at different speeds at different places. we can imagine that this ""wave"" is distributed somehow in space, and then look at the standard deviation of this distribution, sx. the bigger the standard deviation, the more spread out the particle is. the smaller the standard deviation, the less spread out it is and more it looks like a ball of ""stuff"". but the particle will be moving at different speeds, some speeds will be more preferred than others, so we can imagine that all these speeds have their own distribution. we can then look at the standard deviation of this distribution too, sp. the larger the standard deviation, the more it is moving like a wave. the smaller the standard deviation, the more it is moving in a uniform way, like a ball does. if sx is small then it ""looks"" like a discrete particle. if sp is small then it ""moves like"" a discrete particle. the uncertainty principle says that the product (sx)(sp) cannot get too small. this means that we can't have sx and sy be small simultaneously. in other words, it can either *look* like a discrete particle or *move* like a discrete particle, never both. this is just a consequence of the fact that particles are these weird wave-things and are not discrete particles. the uncertainty principle is not restricted to quantum mechanics, it's actually just an idea from probability and statistics that is used in quantum mechanics.",0.0,0.0,1.0,0.0,0.5621765008857982
900,were does the inertia of a playground swing come from?,"swings with children pumping their legs to increase their peak height have actually quite complicated physics that many people confuse with the simpler case of a pendulum with constant peak height and constant total energy. where does the extra energy come from to increase the child's total energy (gravitational potential energy plus kinetic energy)? the energy ultimately comes from the child's muscles. how does energy get transferred from the muscles to the swing? the same way that muscles always create kinetic energy: by pushing off something or pulling towards something. if a child were floating in an empty vacuum with nothing to push, pull, or throw, she could not increase her linear kinetic energy, because of conservation of energy. so what is the child pushing off of or pulling against? the only thing that the child is connected to which is not moving with her is the bar to which the swing chains are attached on the top. therefore, the child's pumping of her legs must effectively allow her to push off from or pull towards the bar. and this is indeed what happens. but it gets more complicated. the chains of the swing are typically connected to the bar so that force can only be transmitted between bar and chain in the radial direction and not in the tangential direction (this is, after all, what allows the swing to swing freely in the angular direction). also, chains can only be pulled and not pushed. the only option to exert a force on the bar is therefore to pull the chain radially away from the bar. how can a child gain net momentum tangentially if she can only pull radially away from the bar? the key is that a force can be redirected by an intervening agent (e.g. a ramp can redirect a downwards force into a sideways force). the intervening agent in this case is the child's body itself and how it is stuck by friction in the chair of the swing. when pumping, the child is effectively pulling radially away against the bar through the chains and diverting this radial force to a tangential force using her body and its connection to the swing seat and chains. therefore, a force that is radially away from the bar becomes a tangential force that is able to angularly accelerate the child and increase her peak height. if the seat of the swing were large, flat and frictionless, and the child was careful not to hold or touch the chains, then there would be no way to divert the radial pull on the chains to a forwards push. the child would not able to increase her peak height. she would just slide around on the chair (or fall off) when she pumped her legs, but would not get it swinging. yes. the child is not pushing off the air and is not directly pushing tangentially off the bar through the chains. she is pulling radially away from the bar.",0.0,0.0,0.0,0.0,0.6224593312018546
849,why do rocket ships appear snowy on take off?,"most large rockets use very cold propellants. what you see is mostly ice due to the condensation of water in the air on the very cold tanks. as the rocket engines start it falls off due to the vibrations. in a rocket you need to bring not only your fuel, but also the oxidizer (oxygen) to burn it. you also need a lot of it while keeping the whole rocket as light as possible. the reason you want very cold (we call them cryogenic) propellants is to be able to store more in a smaller and lighter tank. there are two options to make the propellant take as little space as possible. if the propellant is a gas you can compress it. the issue is that then you need very strong and thus heavy tanks. the other solution is to use a liquid. however a lot of the good rocket fuels (like hydrogen) and oxidizers (like oxygen) are gases under normal conditions. the solution is to cool them enough (-183c for oxygen for example) that they become liquid and then launch the rocket before it boils off. to give you an idea of how much space you save, liquid oxygen is 861 times denser than gaseous oxygen.",0.0,0.0,0.0,0.0,0.6224593382055109
